CCG21CD,Chemical Restraint (BAME),Chemical Restraint (Non-BAME),Chemical Restraint (Unknown/Not Stated),Mechanical restraint (BAME),Mechanical restraint (Non-BAME),Mechanical restraint (Unknown/Not Stated),Physical Restraint (BAME),Physical Restraint (Non-BAME),Physical Restraint (Unknown/Not Stated),Seclusion (BAME),Seclusion (Non-BAME),Seclusion (Unknown/Not Stated),Segregation (BAME),Segregation (Non-BAME),Segregation (Unknown/Not Stated),UNKNOWN (BAME),UNKNOWN (Non-BAME),UNKNOWN (Unknown/Not Stated)
E38000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.333,55.333,3.333,0.0,0.0,0.0,0.0,0.0,0.0
E38000026,0.0,17.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000044,0.0,5.0,0.0,0.0,0.0,0.0,0.0,61.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000045,0.0,23.333,1.667,0.0,0.0,0.0,0.0,66.333,22.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,7.667,0.0
E38000049,26.0,129.667,42.0,0.0,0.0,0.0,18.667,245.333,86.667,0.0,35.333,11.667,0.0,0.0,0.0,0.0,0.0,0.0
E38000052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333,0.0,0.0,9.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000062,0.0,64.667,0.0,0.0,0.0,0.0,5.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000091,0.0,76.0,0.0,0.0,0.0,0.0,40.0,277.333,0.0,5.0,79.333,0.0,16.333,65.333,0.0,0.0,0.0,0.0
E38000106,0.0,33.0,0.0,0.0,0.0,0.0,1.667,108.333,1.667,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000136,6.667,34.667,23.333,0.0,0.0,0.0,28.333,247.333,38.333,14.0,48.333,11.667,0.0,19.333,0.0,0.0,0.0,0.0
E38000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000150,0.0,1.667,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,24.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000175,0.0,46.333,0.0,0.0,0.0,0.0,44.0,116.667,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000190,0.0,3.667,0.0,0.0,0.0,0.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000194,0.0,32.667,0.0,0.0,0.0,0.0,1.667,235.667,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000201,0.0,0.0,0.0,0.0,0.0,0.0,107.333,93.667,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000212,108.333,687.333,13.333,0.0,0.0,0.0,215.0,1924.667,13.333,47.0,182.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0
E38000225,0.0,0.0,0.0,0.0,0.0,0.0,28.167,86.0,20.5,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000229,1.667,10.167,0.0,0.0,0.0,0.0,0.833,47.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000231,0.0,23.0,0.0,0.0,0.0,0.0,12.0,189.667,10.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000237,7.5,66.333,0.0,0.0,0.0,0.0,19.333,134.167,0.833,1.667,26.833,0.833,0.0,13.167,0.0,0.0,0.0,0.0
E38000238,0.0,67.333,0.0,0.0,0.0,0.0,0.0,392.667,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000239,0.0,289.333,35.333,0.0,0.0,0.0,1.667,508.0,62.0,3.333,85.333,10.667,0.0,0.0,0.0,0.0,0.0,0.0
E38000240,0.0,16.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000243,23.0,222.333,60.667,0.0,46.667,1.667,84.0,816.0,238.0,21.0,170.667,17.333,7.333,91.333,0.0,0.0,0.0,0.0
E38000244,25.333,16.333,10.333,0.0,0.0,0.0,252.667,138.333,45.333,5.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000245,22.0,32.667,0.0,0.0,0.0,0.0,26.333,86.333,0.0,7.667,5.333,0.0,0.0,3.667,0.0,0.0,0.0,0.0
E38000247,0.0,142.0,1.667,0.0,3.333,0.0,0.0,779.667,10.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000250,71.667,62.0,1.667,0.0,8.333,0.0,179.333,367.0,31.333,44.667,51.333,8.333,0.0,0.0,0.0,0.0,0.0,0.0
E38000251,20.333,44.0,6.667,0.0,0.0,0.0,52.333,158.333,1.667,0.0,36.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.0,0.0,0.0,0.0,0.0,8.6,8.0
E38000255,61.667,71.333,0.0,0.0,0.0,0.0,36.333,81.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E38000256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.333,78.667,9.667,0.0,0.0,0.0,0.0,0.0,0.0
