CCG21CDH,Inappropriate OAPs active at period end,Total Cost For Inappropriate OAPs in Period
00C,0,0
00D,0,0
00J,0,0
00K,0,0
00L,5,117720
00M,0,0
00N,5,50960
00P,5,109382
00Q,15,792498
00R,15,568087
00T,5,0
00V,5,15925
00X,10,339110
00Y,5,53720
01A,20,758110
01C,0,0
01D,5,119513
01E,10,297564
01F,5,63000
01G,5,0
01H,5,53256
01J,5,25800
01K,10,549235
01R,0,0
01T,0,0
01V,0,0
01W,0,80495
01X,5,69000
01Y,5,53234
02A,0,0
02D,0,0
02E,5,233400
02F,0,0
02G,5,167245
02H,5,543600
02M,5,283685
02N,0,0
02P,5,123361
02Q,5,57415
02R,0,0
02T,5,113384
02W,0,0
02X,10,415952
02Y,5,82650
03A,0,13818
03D,0,0
03E,0,0
03F,10,94026
03H,5,65884
03J,5,14745
03K,5,185096
03L,5,98414
03M,0,0
03N,15,1286977
03Q,5,0
03R,5,341544
03T,0,0
03V,0,0
03W,0,0
04C,0,6165
04D,0,0
04E,0,0
04F,0,93459
04G,0,0
04H,0,0
04K,0,0
04L,0,0
04M,0,0
04N,0,0
04Q,0,0
04V,0,0
04Y,5,0
05A,0,77738
05C,5,105105
05D,0,0
05F,0,0
05G,5,10450
05H,0,7997
05J,0,0
05L,25,869207
05N,5,0
05Q,5,0
05R,5,52720
05T,0,0
05V,0,0
05W,0,0
05X,0,0
05Y,5,48454
06A,5,186524
06D,0,0
06F,0,6320
06H,5,90369
06K,5,277145
06L,0,0
06M,0,0
06N,5,373737
06P,0,0
06Q,5,94500
06T,5,216363
06V,0,0
06W,0,0
06Y,0,0
07G,5,27500
07H,5,112000
07J,0,0
07K,5,94090
07L,0,0
07M,0,0
07N,0,0
07P,5,76378
07Q,0,0
07R,0,0
07T,5,79652
07V,0,0
07W,5,51400
07X,0,0
07Y,0,0
08A,0,0
08C,0,24629
08D,0,0
08E,5,68530
08F,5,6000
08G,0,34788
08H,0,0
08J,0,0
08K,0,0
08L,0,0
08M,0,20925
08N,0,5040
08P,0,0
08Q,0,0
08R,0,0
08T,0,0
08V,0,11520
08W,0,17122
08X,0,0
08Y,0,82334
09A,0,166497
09C,0,0
09D,20,726810
09E,0,0
09F,0,0
09G,0,0
09H,0,0
09J,0,0
09L,0,0
09N,0,0
09P,0,0
09W,0,0
09X,0,0
09Y,0,0
10A,0,0
10C,5,113039
10D,0,0
10E,0,0
10J,5,213941
10K,5,203476
10L,5,21954
10Q,10,619131
10R,0,0
10V,5,114569
10X,10,480753
11A,5,65156
11E,0,0
11J,5,8600
11M,5,218720
11N,0,2235
11X,5,70994
12D,0,0
12F,0,0
13T,5,160342
14L,10,13496
14Y,5,203928
15A,5,241491
15C,15,841037
15D,5,112952
15E,40,2291176
15F,5,668995
15M,20,219186
15N,50,1475171
16C,5,0
18C,0,0
26A,10,795148
27D,0,0
36J,30,1422675
36L,5,152705
42D,5,0
52R,5,297491
70F,30,1088747
71E,15,713296
72Q,20,1421884
78H,5,93663
84H,5,35945
91Q,5,355068
92A,25,1193237
92G,15,650433
93C,15,364727
97R,10,533791
999,20,884843
99A,0,24704
99C,5,50960
99D,0,0
99E,5,35500
99F,5,6000
99G,5,30000
99H,0,0
99J,0,0
99K,0,0
99M,5,131465
99N,0,0
